input_text,target_text,corrected_text
who did you ask whether mary knows why john likes?,Who did you ask whether Mary knows why John likes her?  ,Who did you ask whether mary knows why John likes?
rusty talked about himself only after mary did talk about himself.,Rusty talked about himself only after Mary did the same.  ,Rusty talked about himself only after mary did talk about himself.
the cup knocked the stone apart.,The cup knocked the stone apart.  ,The cup knocked the stone apart.
ellen said about the present conditions.,Ellen spoke about the present conditions.  ,Ellen said about the present conditions.
"it is important the more you eat, the more careful to be.",It is important to be more careful the more you eat.  ,"It is important the more you eat, the more careful to be."
a man to be in the garden is unlikely.,It is unlikely that a man is in the garden.  ,A man to be in the garden is unlikely.
jessica crammed boxes at the truck.,Jessica loaded boxes into the truck.  ,Jessica crammed boxes at the truck.
i wonder you ate how much.,I wonder how much you ate.  ,I wonder you ate how much.
"it is important for the more you to eat, the more careful for you to be.","It is important that the more you eat, the more careful you ought to be.  ","It is important for the more you to eat, the more careful with you to be."
"bill can well imagine the more he eats, the fatter getting.","Bill can imagine that the more he eats, the fatter he becomes.  ","Bill can well imagine the more he eats, the fatter getting."
"i know which book mag read, and which book bob read my report that you hadn't.",I know which book Mag read and which book Bob referred to in his report that you hadn’t.  ,"I know which book mag read, and which book bob read my report that you hadn't."
they drank the pub.,They drank at the pub.  ,They drank the pub.
the more food mary knows a man that eats the poorer she gets.,"The more food Mary knows a man eats, the poorer she becomes.  ",The more food mary knows a man that eats the poorer she gets.
the lions ate raw the meat.,The lions ate the meat raw.  ,The lions ate raw the meat.
john was cost $10 by the book.,The book cost John $10.  ,John was cost $10 by the book.
which boy's did we elect guardian's employer president?,Whose guardian’s employer did we elect president?  ,Which boys did we elect guardian's employer president?
the chair pushed.,The chair was moved.  ,The chair pushed.
mary considered to have loved her.,Mary was considered to have loved him.  ,Mary considered to have loved her.
the fort fluttered with many flags.,The fort was adorned with many flags.  ,The fort fluttered with many flags.
john seems that is nice.,John seems to be nice.  ,John seems that is nice.
"the more does bill smoke, the more susan hates him.","The more Bill smokes, the more Susan hates him.  ","The more does bill smoke, the more susan hates him."
the branch dropped bare of its apple.,The branch dropped bare of its apples.  ,The branch dropped bare of its apple.
"although mag doesn't eggplants, sally eats cabbage.","Although Mag doesn’t eat eggplants, Sally eats cabbage.  ","Although mag doesn't eggplants, Sally eats cabbage."
he belief that mary kissed bill is mistaken.,The belief that Mary kissed Bill is mistaken.  ,He believe that mary kissed bill is mistaken.
there is arriving three men at that station.,There are three men arriving at that station.  ,There is arriving three men at that station.
the writers didn't so believe the boy.,The writers did not believe the boy in such a way.  ,The writers didn't so believe the boy.
he gets angry if john has to wait.,He gets angry if John has to wait.  ,He gets angry if John has to wait.
you shouldn't have played with rifles because to have is dangerous.,You shouldn’t have played with rifles because it was dangerous.  ,You shouldn't have played with rifles because to have is dangerous.
"the more time that every senator spends with lobbyists, the more likely he succumbs to corruption.","The more time every senator spends with lobbyists, the more likely he is to succumb to corruption.  ","The more time that every senator spends with lobbyists, the more likely he succumbs to corruption."
heidi thinks that andy to eat salmon flavored candy bars.,Heidi thinks that Andy likes eating salmon-flavoured candy bars.  ,Heidi thinks that andy to eat salmon flavored candy bars.
the house destroyed john.,The house was destroyed by John.  ,The house destroyed john.
john believes that him is sick.,John believes that he is sick.  ,John believes that him is sick.
how many people do you wonder whether i consider intelligent?,How many people do you wonder whether I consider intelligent?  ,How many people do you wonder whether I consider intelligent?
kim alienated cats and beating his dog.,Kim alienated cats and beat his dog.  ,Kim alienated cats and beating his dog.
you shouldn't play with rifles because to is dangerous.,You shouldn’t play with rifles because it is dangerous.  ,You shouldn't play with rifles because to is dangerous.
no one can forgive that comment to you.,No one can forgive you for that comment.  ,No one can forgive that comment to you.
"the more you eat, you want the more.","The more you eat, the more you want.  ","The more you eat, you want the more."
"it is important the more you to eat, the more careful to be.","It is important that the more you eat, the more careful you must be.","It is important the more you to eat, the more careful to be."
which article did terry file papers without reading?,Which article did Terry file without reading the papers?  ,Which article did terry file papers without reading?
"he seems to become more corrupt, as every senator talks to more lobbyists.",He seems to become more corrupt as every senator talks to more lobbyists.  ,"He seems to become more corrupt, as every senator talks to more lobbyists."
kick you!,Get out of here!  ,Kick you!
"he seems to become more corrupt, if every senator talks to more lobbyists.",He seems to become more corrupt if every senator talks to more lobbyists.  ,"He seems to become more corrupt, if every senator talks to more lobbyists."
"it is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy.",It is the folks up at corporate headquarters who will be satisfied the sooner you solve this problem.  ,"It is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy."
himself is understood by rutherford.,Rutherford is understood by himself.  ,Himself is understood by rutherford.
the kids were failed as a father.,The kids were failed by Max in his role as a father.  ,The kids were failed as a father.
michelle kept the desk with the papers.,Michelle organized the desk with papers.  ,Michelle kept the desk with the papers.
i detest him taking a bath.,I detest him taking a bath.  ,I detest him taking a bath.
here's a knife with which for you to cut up the onions.,Here’s a knife for you to use to cut the onions.  ,Here's a knife with which for you to cut up the onions.
we proclaimed sincerely to the public john to be a hero.,We sincerely proclaimed John to be a hero to the public.  ,We proclaimed sincerely to the public john to be a hero.
the box at once contained the ball.,The box instantly contained the ball.  ,The box at once contained the ball.
bill is resembled by john.,John resembles Bill.  ,Bill is resembled by john.
"the more that pictures of himself appear in the news, the more likely john is to get arrested.","The more pictures of himself that appear in the news, the more likely John is to get arrested.  ","The more that pictures of himself appear in the news, the more likely john is to get arrested."
john is impressed by bill as pompous.,John is impressed by Bill's pompous behaviour.  ,John is impressed by bill as pompous.
the dog barked out of the room.,The dog barked as it left the room.  ,The dog barked out of the room.
"it's we go to the meeting, that sally will tell us when.","When we go to the meeting, Sally will tell us what time to arrive.  ","It's we go to the meeting, that sally will tell us when."
"the more he eats, the fatter he goes to a doctor when he gets.","The more he eats, the more often he goes to the doctor.  ","The more he eats, the fatter he goes to a doctor when he gets."
this is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.,This is a problem that you will be able to tell the folks up at corporate headquarters to buzz off if you solve it.  ,This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.
the cup filled of water.,The cup was filled with water.  ,The cup filled of water.
what mary did bill was give a book.,What Mary gave Bill was a book.  ,What mary did bill was give a book.
"which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?","The sooner you solve this problem, the more easily you will satisfy the folks at corporate headquarters.  ","Which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?"
mary reported he to have loved her.,Mary reported that he had loved her.  ,Mary reported he to have loved her.
"it is not entirely obvious if, mary listens to the grateful dead, she gets depressed.",It is not entirely obvious whether Mary listens to the Grateful Dead and gets depressed.  ,"It is not entirely obvious if, mary listens to the grateful dead, she gets depressed."
"the later it gets, the more people everyone who likes pays attention to.","The later it gets, the more attention everyone who likes pays.  ","The later it gets, the more people everyone who likes pays attention to."
students studying english reads conrad's heart of darkness while at university.,Students studying English read Conrad’s “Heart of Darkness” in university.  ,Students studying english reads conrad's heart of darkness while at university.
which problem do you wonder whether john said that mary solved?,Which problem do you wonder whether John said that Mary solved?  ,Which problem do you wonder whether John said that mary solved?
medea tried the nurse to poison her children.,Medea tried to poison her children through the nurse.  ,Medea tried the nurse to poison her children.
"i can well imagine the more him eating, the fatter him getting.","I can easily imagine that the more he eats, the fatter he gets.  ","I can well imagine the more him eating, the fatter him getting."
the boys were made a good mother by aunt mary.,Aunt Mary made the boys appreciate a good mother.  ,The boys were made a good mother by aunt mary.
john would be liked to win.,John would be liked as the winner.  ,John would be liked to win.
sophie will theater.,Sophie will go to the theatre.  ,Sophie will theater.
they represented seriously to the dean mary as a genuine linguist.,They seriously represented Mary to the dean as a genuine linguist.  ,They represented seriously to the dean mary as a genuine linguist.
john write books.,John writes books.  ,John write books.
the children amused.,The children were entertained.  ,The children amused.
i saw the men all.,I saw all the men.  ,I saw the men all.
"the more he eats, the fatter that that he gets really bothers me.","The more he eats, the more his weight bothers me.  ","The more he eats, the fatter that he gets really bothers me."
"it is important the more you eat, the more careful you to be.","It is important that the more you eat, the more careful you must be.  ","It is important the more you eat, the more careful you to be."
sam stood near yesterday every one of the women we'd been discussing.,Sam stood near every one of the women we had been discussing yesterday.  ,Sam stood near yesterday every one of the women we'd been discussing.
the tube was escaped by gas.,Gas escaped from the tube.  ,The tube was escaped by gas.
mickey teamed with the women up.,Mickey teamed up with the women.  ,Mickey teamed with the women up.
the ship sank to collect the insurance.,The ship was sunk to collect the insurance.  ,The ship sank to collect the insurance.
how do you wonder whether john said mary solved the problem?,How do you wonder whether John said Mary solved the problem?  ,How do you wonder whether John said mary solved the problem?
i know a man who tom drives as drives.,I know a man who drives like Tom.  ,I know a man who tom drives as drives.
he washed yourself.,He washed himself.  ,He washed yourself.
"the richer he gets, the more john meets geniuses.",The richer he gets; the more John meets geniuses.  ,"The richer he gets, the more john meets geniuses."
we love their.,We love their company.  ,We love their.
the elevator rumbled itself to the ground.,The elevator rumbled its way to the ground.  ,The elevator rumbled itself to the ground.
many information was provided.,A lot of information was provided.  ,much information was provided.
"we gave him enough opportunity and, sure enough, every senator succumbed to corruption.","We gave him enough opportunity, and sure enough, every senator succumbed to corruption.  ","We gave him enough opportunity and, sure enough, every senator succumbed to corruption."
mary reported his to have loved her.,Mary reported his assertion that he loved her.  ,Mary reported his to have loved her.
we yelled harry hoarse.,We yelled Harry hoarse.  ,We yelled harry hoarse.
rub the cloth on the baby asleep.,Rub the cloth on the baby while they are asleep.  ,Rub the cloth on the baby asleep.
i visited every town in every country i had to.,I visited every town in every country that I needed to visit.  ,I visited every town in every country I had to.
i ate that she was happy,I ate while she was happy.  ,I ate that she was happy
john to call would be unlikely.,It would be unlikely for John to call.  ,John to call would be unlikely.
linda winked her lip.,Linda pursed her lips.  ,Linda winked her lip.
"he seems to become more corrupt, the more lobbyists any senator talks to.",He seems to become more corrupt the more lobbyists any senator talks to.  ,"He seems to become more corrupt, the more lobbyists any senator talks to."
the problem's knowledge is quite thorough.,The understanding of the problem is quite thorough.  ,The problem's knowledge is quite thorough.
we proclaimed to the public john to be a hero.,We proclaimed John to be a hero to the public.  ,We proclaimed to the public john to be a hero.
paperback books lift onto the table easily.,Paperback books lift onto the table with ease.  ,Paperback books lift onto the table easily.
who would you prefer for to win the race?,Who would you prefer to win the race?  ,Who would you prefer for to win the race?
they caused him to become president by making him.,They made him president by supporting him.  ,They caused him to become president by making him.
the farm finally reached john after much litigation.,"After much litigation, John finally reached the farm.  ",The farm finally reached john after much litigation.
"the more obnoxious fred, the less attention you should pay to him.","The more obnoxious Fred becomes, the less attention you should pay to him.  ","The more obnoxious fred, the less attention you should pay to him."
i reviewed joe's attempt to find holly while you reviewed josã©'s attempt to.,"I reviewed Joe’s attempt to find Holly, while you reviewed José’s attempt to do the same.  ",I reviewed joe's attempt to find holly while you reviewed jose©'s attempt to.
"lilly decided eating cabbage, to be.",Lilly decided to eat cabbage.  ,"Lilly decided eating cabbage, to be."
the monkey is ate the banana,The monkey ate the banana.  ,The monkey is eaten the banana
john's mother likes himself.,John's mother likes him.  ,John's mother likes himself.
"while holly didn't discuss a report about every boy, she did every girl.","While Holly didn’t discuss a report about every boy, she discussed every girl.  ","While holly didn't discuss a report about every boy, she did every girl."
we believed john to be a fountain in the park.,We believed John to be the fountain in the park.  ,We believed john to be a fountain in the park.
john tries to meet often mary.,John often tries to meet Mary.  ,John tries to meet often mary.
bill proud of himself john doesn't consider.,John doesn't consider Bill proud of himself.  ,Bill proud of himself john doesn't consider.
"i demand that the more john eat, the more he pay.","I demand that the more John eats, the more he pays.  ","I demand that the more john eat, the more he pay."
"which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?","The sooner you solve the problem, the more easily you will satisfy the folks up at corporate headquarters.  ","Which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?"
"he seems to become more corrupt, if any senator talks to more lobbyists.",He seems to become more corrupt if any senator talks to more lobbyists.  ,"He seems to become more corrupt, if any senator talks to more lobbyists."
the logs piled the barge high.,Logs were piled high on the barge.  ,The logs piled the barge high.
the road blocked with a stone.,The road was blocked by a stone.  ,The road blocked with a stone.
"mary claimed that intelligent, i consider holly not.",Mary claimed that Holly is not intelligent.  ,"Mary claimed that intelligent, I consider holly not."
the boat sank to collect the insurance.,The boat was sunk to collect the insurance.  ,The boat sank to collect the insurance.
john paid me against the book.,John paid me back for the book.  ,John paid me against the book.
"mary claimed that have eaten cabbage, holly should.",Mary claimed that Holly should have eaten cabbage.  ,"Mary claimed that have eaten cabbage, holly should."
"near everyone angleton did, dulles stood.","Near everyone Angleton stood, Dulles stood too.  ","Near everyone angleton did, dulles stood."
"the more that john gets upset by them, the more that stories about himself seem to show up in the news.","The more John gets upset by the pictures, the more stories about him seem to show up in the news.  ","The more that john gets upset by them, the more that stories about himself seem to show up in the news."
"his expectations lower, the higher the stakes are.",His expectations lower as the stakes become higher.  ,"His expectations lower, the higher the stakes are."
"the younger woman might have been tall and, and the older one definitely was, blond.","The younger woman might have been tall, and the older one was definitely blond.  ","The younger woman might have been tall and, and the older one definitely was, blond."
frank promised the men all to leave.,Frank promised all the men that he would leave.  ,Frank promised the men all to leave.
this is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.,"This is a problem that if you solve it, you’ll be able to tell the folks up at corporate headquarters to buzz off.  ","This is a problem that you solve it, and you'll be able to tell the folks up at corporate headquarters to buzz off."
john intimately spoke to mary.,John spoke to Mary intimately.  ,John intimately spoke to mary.
am not i going?,Am I not going?  ,Am not I going?
anson became a muscle bound.,Anson became very muscular.  ,Anton became a muscle-bound.
"the more obnoxious fred, the less you should pay attention to him.","The more obnoxious Fred becomes, the less attention you should give him.  ","The more obnoxious fred, the less you should pay attention to him."
i can well imagine quickly mary answering the question.,I can easily imagine Mary answering the question quickly.  ,I can well imagine quickly mary answering the question.
fruit fell against the house against the ground.,Fruit fell against the house and then to the ground.  ,Fruit fell against the house against the ground.
the witch went into the forest by vanishing.,The witch vanished into the forest.  ,The witch went into the forest by vanishing.
sally kissed himself.,Sally kissed herself.  ,Sally kissed himself.
"this is the book which bob reviewed, and this is the one which fred won't do it.","This is the book Bob reviewed, and this is the one Fred won’t review.  ","This is the book which bob reviewed, and this is the one which fred won't do it."
what did you ask who saw?,Who did you ask about seeing someone?  ,What did you ask who saw?
sue gave to bill a book.,Sue gave Bill a book.  ,Sue give to bill a book.
they alleged many strangers to have been in that garden.,They alleged that many strangers had been in that garden.  ,They alleged many strangers to have been in that garden.
"it is important the more you to eat, the more careful for you to be.","It is important that the more you eat, the more careful you are.  ","It is important the more you to eat, the more careful with you to be."
john would be hated to win.,John would be disliked if he won.  ,John would be hated to win.
fruit at once hit the roof against the ground.,Fruit immediately hit the roof and fell to the ground.  ,Fruit at once hit the roof against the ground.
"mary came to read fred's story, and i also came to.","Mary came to read Fred’s story, and I also came to read it.  ","Mary came to read fred's story, and I also came to."
i shaped a loaf.,I shaped a loaf of bread.  ,I shaped a loaf.
what the water did to the whole bottle was fill it.,What the water did to the entire bottle was fill it.  ,What the water did to the whole bottle was fill it.
we proved conclusively to the authorities smith to be the thief.,We conclusively proved to the authorities that Smith was the thief.  ,We proved conclusively to the authorities smith to be the thief.
packages drive easily to new york.,Packages are easily delivered to New York.  ,Packages drive easily to New York.
i enjoy him taking a bath.,I enjoy him taking a bath.  ,I enjoy him taking a bath.
"mary claimed that eating cabbage, holly started.",Mary claimed that Holly started eating cabbage.  ,"Mary claimed that eating cabbage, holly started."
who does john visit sally because he likes?,Whom does John visit because he likes Sally?  ,Who does john visit sally because he likes?
there seemed to be intelligent.,There seemed to be intelligence present.  ,There seemed to be intelligent.
i lent the book partway to tony.,I lent the book to Tony partway.  ,I lent the book partway to tony.
i wonder what who bought?,I wonder what was bought by whom.  ,I wonder what who bought?
john is easy to please kim.,John is easy for Kim to please.  ,John is easy to please kim.
the cup filled the water high.,The cup was filled with water to the top.  ,The cup filled the water high.
john perfectly rolled the ball down the hill.,John rolled the ball down the hill perfectly.  ,John perfectly rolled the ball down the hill.
there is too likely to be a riot to be a serious discussion of the issues.,The likelihood of a riot is too high for a serious discussion of the issues.  ,There is too likely to be a riot to be a serious discussion of the issues.
you give every senator enough opportunity and he will succumb to corruption.,"If you give every senator enough opportunity, he will succumb to corruption.  ","You give every senator enough opportunity, and he will succumb to corruption."
what the stone did to the wall was hit it.,What the stone did to the wall was hit it.  ,What the stone did to the wall was hit it.
wind was gotten of a plot to negotiate an honorable end to the war in vietnam.,Word got out about a plot to negotiate an honourable end to the Vietnam War.  ,Wind was gotten of a plot to negotiate an honorable end to the war in vietnam.
how fierce the battle?,How fierce was the battle?  ,How fierce the battle?
she goes and buying some whiskey.,She went to buy some whiskey.  ,She goes and buying some whiskey.
was sunk.,It sank.  ,Was sunk.
"the more he eats, the poorer he knows a woman that gets.","The more he eats, the poorer the woman he knows gets.  ","The more he eats, the poorer he knows a woman that gets."
"put a picture of bill on your desk before tomorrow, this girl in the red coat will put a picture of bill on your desk before tomorrow.","Before tomorrow, this girl in the red coat will put a picture of Bill on your desk.  ","Put a picture of bill on your desk before tomorrow, this girl in the red coat will put a picture of bill on your desk before tomorrow."
the monkeys proud of their leader.,The monkeys are proud of their leader.  ,The monkeys proud of their leader.
john wonders where him to go.,John wonders where he should go.  ,John wonders where him to go.
the children eat all chocolate.,The children eat all the chocolate.  ,The children eat all chocolate.
the stone knocked against the pole into the road.,The stone knocked against the pole onto the road.  ,The stone knocked against the pole into the road.
brian threw the fence with the stick.,Brian threw the stick over the fence.  ,Brian threw the fence with the stick.
the ship's sinking to collect the insurance was very devious.,The sinking of the ship to collect the insurance was very devious.  ,The ship's sinking to collect the insurance was very devious.
fruit hit the roof against the ground.,Fruit hit the roof and then fell to the ground.  ,Fruit hit the roof against the ground.
the proof this set is recursive is difficult.,Proving this set is recursive is challenging.  ,The proof this set is recursive is difficult.
"mary claimed that eat cabbage, holly made me.",Mary claimed that Holly made me eat cabbage.  ,"Mary claimed that eat cabbage, holly made me."
"i can well imagine if he eats more, him getting fat.","I can easily imagine that if he eats more, he will gain weight.  ","I can well imagine if he eats more, him getting fat."
which topic did you get bored because mary talked about?,Which topic did you get bored with because Mary talked about it?  ,Which topic did you get bored because mary talked about?
john wanted to leave the room happy and leave the room he did happy.,"John wanted to leave the room happily, and leave the room he did happily.  ",John wanted to leave the room happy and leave the room he did happy.
mary intended john to go abroad.,Mary intended for John to go abroad.  ,Mary intended john to go abroad.
